tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,default,0.5000000000000001,1.8998980522155762e-06,5.910010077059269e-05
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,validation_f1,1.0,1.8998980522155762e-06,5.910010077059269e-05
1556,0,1517,0,0.5063455906280507,0.0,0.0,0.0,0.0,1.0,0.5,0.4936544093719492,0.5,0.0,3073,iscx,iscx,always_malicious,11,validation_fpr_limit,1.0000000000000002,1.8998980522155762e-06,5.910010077059269e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,default,0.5000000000000001,1.8998980522155762e-06,7.429998368024826e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,validation_f1,1.0,1.8998980522155762e-06,7.429998368024826e-05
5600,0,6129,0,0.47744905789069825,0.0,0.0,0.0,0.0,1.0,0.5,0.5225509421093018,0.5,0.0,11729,iscx,mendeley,always_malicious,11,validation_fpr_limit,1.0000000000000002,1.8998980522155762e-06,7.429998368024826e-05
1369,187,319,1198,0.8353400585746827,0.8649819494584837,0.7897165458141068,0.8256374913852516,0.12017994858611825,0.8798200514138818,0.8347682986139943,0.9364943705576451,0.930786137570262,0.4506996420436056,3073,iscx,iscx,logistic,11,default,5e-324,0.02582129999063909,0.0004561999812722206
1298,258,181,1336,0.8571428571428571,0.8381430363864492,0.8806855636123929,0.8588878174220508,0.16580976863753213,0.8341902313624678,0.8574378974874304,0.9364943705576451,0.930786137570262,0.5187113569801497,3073,iscx,iscx,logistic,11,validation_f1,-0.47409725189208984,0.02582129999063909,0.0004561999812722206
1545,11,772,745,0.7452001301659616,0.9854497354497355,0.4911008569545155,0.6555213374395072,0.007069408740359897,0.9929305912596401,0.7420157241070778,0.9364943705576451,0.930786137570262,0.2460136674259681,3073,iscx,iscx,logistic,11,validation_fpr_limit,2.386249542236328,0.02582129999063909,0.0004561999812722206
160,5440,1008,5121,0.450251513342996,0.4848972635167124,0.8355359765051396,0.6136608747753146,0.9714285714285714,0.02857142857142857,0.43205370253828407,0.3515997250176772,0.1256767300654966,0.9004177679256543,11729,iscx,mendeley,logistic,11,default,5e-324,0.02582129999063909,0.0007132000755518675
115,5485,811,5318,0.46321084491431497,0.49227066555586413,0.8676782509381629,0.6281596976139854,0.9794642857142857,0.020535714285714286,0.4441069826119386,0.3515997250176772,0.1256767300654966,0.9210503879273595,11729,iscx,mendeley,logistic,11,validation_f1,-0.47409725189208984,0.02582129999063909,0.0007132000755518675
330,5270,2280,3849,0.3562963594509336,0.42208575501699747,0.6279980420949584,0.5048530954879329,0.9410714285714286,0.05892857142857143,0.3434633067617649,0.3515997250176772,0.1256767300654966,0.7774746355187996,11729,iscx,mendeley,logistic,11,validation_fpr_limit,2.386249542236328,0.02582129999063909,0.0007132000755518675
1414,142,157,1360,0.9027009437032216,0.9054593874833555,0.8965062623599209,0.9009605829744949,0.09125964010282776,0.9087403598971723,0.9026233111285467,0.9706066367614758,0.9643805508436519,0.4887731858119102,3073,iscx,iscx,random_forest,11,default,0.5000000000000001,1.388785099843517,0.10710779996588826
1506,50,226,1291,0.9101854864952815,0.9627143922445935,0.8510217534607778,0.9034289713086074,0.032133676092544985,0.967866323907455,0.9094440386841164,0.9706066367614758,0.9643805508436519,0.43638138626749107,3073,iscx,iscx,random_forest,11,validation_f1,0.635,1.388785099843517,0.10710779996588826
1526,30,275,1242,0.900748454279206,0.9764150943396226,0.8187211601845749,0.8906418070993187,0.019280205655526992,0.980719794344473,0.899720477264524,0.9706066367614758,0.9643805508436519,0.4139277578913114,3073,iscx,iscx,random_forest,11,validation_fpr_limit,0.82,1.388785099843517,0.10710779996588826
110,5490,556,5573,0.48452553499872114,0.5037512428816777,0.9092837330722793,0.648324802233597,0.9803571428571428,0.019642857142857142,0.46446329510756823,0.44961169308164756,0.35696265412675116,0.943217665615142,11729,iscx,mendeley,random_forest,11,default,0.5000000000000001,1.388785099843517,0.13127820007503033
128,5472,698,5431,0.47395344871685563,0.4981197835458131,0.8861151900799478,0.6377407233442931,0.9771428571428571,0.022857142857142857,0.45448616646854534,0.44961169308164756,0.35696265412675116,0.929576263961122,11729,iscx,mendeley,random_forest,11,validation_f1,0.635,1.388785099843517,0.13127820007503033
165,5435,960,5169,0.4547702276408901,0.48745756318370426,0.8433675966715615,0.617821072132911,0.9705357142857143,0.029464285714285714,0.4364159411929236,0.44961169308164756,0.35696265412675116,0.9040838946201722,11729,iscx,mendeley,random_forest,11,validation_fpr_limit,0.82,1.388785099843517,0.13127820007503033
1461,95,210,1307,0.900748454279206,0.9322396576319544,0.8615688859591298,0.8955121616992121,0.061053984575835475,0.9389460154241646,0.9002574506916472,0.9670606661227463,0.9614874608761373,0.4562316954116499,3073,iscx,iscx,mlp,11,default,5e-324,8.387927899835631,0.009759499924257398
