source,target,operating_point,average_precision_ddqn_minus_dqn_mean,average_precision_ddqn_minus_dqn_std,average_precision_ddqn_minus_dqn_count,roc_auc_ddqn_minus_dqn_mean,roc_auc_ddqn_minus_dqn_std,roc_auc_ddqn_minus_dqn_count,f1_ddqn_minus_dqn_mean,f1_ddqn_minus_dqn_std,f1_ddqn_minus_dqn_count,precision_ddqn_minus_dqn_mean,precision_ddqn_minus_dqn_std,precision_ddqn_minus_dqn_count,recall_ddqn_minus_dqn_mean,recall_ddqn_minus_dqn_std,recall_ddqn_minus_dqn_count,fpr_ddqn_minus_dqn_mean,fpr_ddqn_minus_dqn_std,fpr_ddqn_minus_dqn_count,balanced_accuracy_ddqn_minus_dqn_mean,balanced_accuracy_ddqn_minus_dqn_std,balanced_accuracy_ddqn_minus_dqn_count
iscx,iscx,default,-6.373833219344149e-05,0.0008042417770994713,5,-7.244375229826794e-05,0.0005063876440157295,5,-0.00042926865871986133,0.0008075670027930369,5,-3.2648196440066e-05,0.003623023728214398,5,-0.0007910349373763559,0.0037406093497985744,5,1.3877787807814458e-18,0.0041401345522895676,5,-0.00039551746868817796,0.0007963438965641602,5
iscx,iscx,validation_f1,-6.373833219344149e-05,0.0008042417770994713,5,-7.244375229826794e-05,0.0005063876440157295,5,9.286308290343826e-05,0.0012226102580909619,5,0.0017594264299323425,0.0015542889378455612,5,-0.0015820698747528005,0.0031476167135961277,5,-0.00205655526992288,0.0018956145506108777,5,0.00023724269758502726,0.0010827019298506849,5
iscx,iscx,validation_fpr_limit,-6.373833219344149e-05,0.0008042417770994713,5,-7.244375229826794e-05,0.0005063876440157295,5,0.002882941724805388,0.014944632787802154,5,-4.6211997061451626e-05,0.0013659534062693155,5,0.0035596572181938236,0.0184197750260493,5,0.00012853470437018018,0.0007040135700580541,5,0.0017155612569118128,0.009314913943702733,5
iscx,mendeley,default,0.011905694683057688,0.05402280331041912,5,0.014037398317133997,0.08004776669177023,5,-9.880633235170854e-06,0.001000142755929793,5,-1.1113960510023003e-05,0.00047989413233665956,5,-4.4408920985006264e-17,0.0023160498558620203,5,3.5714285714272266e-05,0.0007512744274272573,5,-1.7857142857158335e-05,0.0007844387625825529,5
iscx,mendeley,validation_f1,0.011905694683057688,0.05402280331041912,5,0.014037398317133997,0.08004776669177023,5,-0.0001240260079603761,0.0008495329250102505,5,-4.7521535256223046e-05,0.0004406439372655375,5,-0.00032631750693425945,0.0018709977061804114,5,-0.00017857142857142795,0.0004187871214128142,5,-7.387303918141575e-05,0.0007399501661218668,5
iscx,mendeley,validation_fpr_limit,0.011905694683057688,0.05402280331041912,5,0.014037398317133997,0.08004776669177023,5,-6.12154405682297e-05,0.00360800508147666,5,-0.00027235226601994843,0.002354870208088823,5,0.00045684450970797654,0.006451892114804534,5,0.0017142857142856903,0.004139237951160418,5,-0.000628720602288857,0.003531793898147472,5
mendeley,iscx,default,-0.005033737925454873,0.014564123345685085,5,-0.0033261426201422416,0.014015280986142575,5,-2.543890387229908e-08,0.00020636757911054605,5,-2.1468712285699355e-08,0.00011658756500773525,5,2.2204460492503132e-17,0.0004661218069785941,5,0.0,0.0,5,1.1102230246251566e-17,0.00023306090348929704,5
mendeley,iscx,validation_f1,-0.005033737925454873,0.014564123345685085,5,-0.0033261426201422416,0.014015280986142575,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,validation_fpr_limit,-0.005033737925454873,0.014564123345685085,5,-0.0033261426201422416,0.014015280986142575,5,-0.0012038936231733577,0.03155402812470839,5,-0.0007929990705420719,0.031183094205949106,5,-0.001186552406064595,0.031161907472793047,5,0.0015424164524421523,0.011732972808324823,5,-0.0013644844292533653,0.019705445111036876,5
mendeley,mendeley,default,-0.00016286173671757885,0.0016404396081620208,5,-4.467636295835131e-05,0.0003992568001402614,5,0.0005167229969827547,0.001010235618705721,5,0.0001602332911205151,0.0004895239227778769,5,0.0009463207701093212,0.0017625676979352639,5,-5.551115123125783e-18,0.0005206207048969081,5,0.0004731603850546273,0.000953927438722005,5
mendeley,mendeley,validation_f1,-0.00016286173671757885,0.0016404396081620208,5,-4.467636295835131e-05,0.0003992568001402614,5,0.00031671051456396706,0.0006635424913835661,5,-0.0014896735677299767,0.003148987763860371,5,0.002675803556860812,0.005619628985041906,5,0.003035714285714286,0.006396248103061538,5,-0.00017995536442674264,0.00040127833748103707,5
mendeley,mendeley,validation_fpr_limit,-0.00016286173671757885,0.0016404396081620208,5,-4.467636295835131e-05,0.0003992568001402614,5,-0.0010126385195355302,0.009498487079215258,5,-0.001657389536148357,0.006436329153690293,5,-0.0006852667645619204,0.006422944882016021,5,0.00021428571428571303,0.0010594569267279525,5,-0.00044977623942383805,0.0032181847720374654,5
