source,target,seed,operating_point,average_precision_ddqn_minus_dqn,roc_auc_ddqn_minus_dqn,f1_ddqn_minus_dqn,precision_ddqn_minus_dqn,recall_ddqn_minus_dqn,fpr_ddqn_minus_dqn,balanced_accuracy_ddqn_minus_dqn
iscx,iscx,11,default,0.0002473465528143315,7.371469532091446e-05,-0.0007829548524047603,0.0004227892158926716,-0.0019775873434410007,-0.0006426735218508922,-0.0006674569107950612
iscx,iscx,11,validation_f1,0.0002473465528143315,7.371469532091446e-05,0.0007220961757405941,0.00011945122700995903,0.0013183915622939635,0.0,0.0006591957811469262
iscx,iscx,11,validation_fpr_limit,0.0002473465528143315,7.371469532091446e-05,0.008378027024537493,0.0002950070064163812,0.010547132498352041,0.0,0.005273566249176076
iscx,iscx,23,default,0.0006419654726225188,0.00034908568358948955,-0.0009328016488985291,0.004906180451316522,-0.006591957811469928,-0.005784061696658099,-0.0004039480574059562
iscx,iscx,23,validation_f1,0.0006419654726225188,0.00034908568358948955,0.0014942215464356368,0.0029894345772569775,0.0,-0.0032133676092545027,0.0016066838046271403
iscx,iscx,23,validation_fpr_limit,0.0006419654726225188,0.00034908568358948955,0.022480565865957036,0.0018369029896574407,0.027027027027027084,-0.0006426735218508992,0.013834850274438981
iscx,iscx,37,default,0.0001410834690352969,-8.472953485050283e-06,-0.0005950852238428839,-0.004566947295582935,0.0032959789057350752,0.005141388174807207,-0.0009227046345360312
iscx,iscx,37,validation_f1,0.0001410834690352969,-8.472953485050283e-06,5.49510935268227e-05,0.0027663340646025825,-0.002636783124587927,-0.0032133676092545027,0.0002882922423332879
iscx,iscx,37,validation_fpr_limit,0.0001410834690352969,-8.472953485050283e-06,0.0,0.0,0.0,0.0,0.0
iscx,iscx,51,default,-0.0014505299217145717,-0.0009464289042947494,-0.0008340537513388258,-0.0023302654987473748,0.0006591957811470373,0.0025706940874035966,-0.000955749153128238
iscx,iscx,51,validation_f1,-0.0014505299217145717,-0.0009464289042947494,-0.0018069534011858623,0.002921912280792194,-0.0065919578114700395,-0.003856041131105395,-0.0013679583401822182
iscx,iscx,51,validation_fpr_limit,-0.0014505299217145717,-0.0009464289042947494,-0.018808658296192937,-0.0004001600640256564,-0.02373104812129201,0.0,-0.011865524060646004
iscx,iscx,71,default,0.00010144276627521709,0.00016988271737805594,0.0009985521828856925,0.0014050021449207861,0.0006591957811470373,-0.0012853470437018052,0.000972271412424397
iscx,iscx,71,validation_f1,0.00010144276627521709,0.00016988271737805594,0.0,0.0,0.0,0.0,0.0
iscx,iscx,71,validation_fpr_limit,0.00010144276627521709,0.00016988271737805594,0.0023647740297253472,-0.0019628099173554237,0.0039551746868820015,0.0012853470437018,0.0013349138215900114
iscx,mendeley,11,default,-1.7945074757830248e-06,-0.00040352655991424125,-0.0004515349248008782,-0.00023827843402712823,-0.0009789525208028227,-0.00017857142857147235,-0.00040019054611567517
iscx,mendeley,11,validation_f1,-1.7945074757830248e-06,-0.00040352655991424125,0.0003699201600747548,0.00019078942995404136,0.0008157937673355375,0.00017857142857147235,0.0003186111693820326
iscx,mendeley,11,validation_fpr_limit,-1.7945074757830248e-06,-0.00040352655991424125,0.004281362374149444,0.0026836555650518457,0.007505302659487678,0.0,0.003752651329743839
iscx,mendeley,23,default,-0.04456083678594602,-0.07504227559844301,-0.0014110257588887398,-0.0006758714543907973,-0.0032631750693424832,-0.001071428571428612,-0.0010958732489569356
iscx,mendeley,23,validation_f1,-0.04456083678594602,-0.07504227559844301,0.0004883493085922064,0.000283792738398847,0.0009789525208027117,0.0,0.0004894762604013558
iscx,mendeley,23,validation_fpr_limit,-0.04456083678594602,-0.07504227559844301,-0.000738272615387281,-0.00172576177270245,0.0017947462881383602,0.00910714285714287,-0.0036561982845022545
iscx,mendeley,37,default,-0.0013641107175482725,-0.0056418985851805215,0.0011920456493941245,0.0005700955767182214,0.002773698808941072,0.0008928571428571397,0.0009404208330419661
iscx,mendeley,37,validation_f1,-0.0013641107175482725,-0.0056418985851805215,-0.0005293463815918553,-0.0002824683260705396,-0.0011421112742698858,-0.00017857142857147235,-0.0004817699228492067
iscx,mendeley,37,validation_fpr_limit,-0.0013641107175482725,-0.0056418985851805215,-0.002362369208473103,-0.0014019526443842523,-0.004405286343612258,-0.00035714285714283367,-0.002024071743234712
iscx,mendeley,51,default,0.10189391087323507,0.14459555567209753,0.0006211118681196393,0.0002884845091495891,0.001468428781204012,0.000535714285714306,0.000466357247744853
iscx,mendeley,51,validation_f1,0.10189391087323507,0.14459555567209753,-0.0014383347739774788,-0.0007143115713841852,-0.0032631750693424832,-0.0008928571428571397,-0.0011851589632426718
iscx,mendeley,51,validation_fpr_limit,0.10189391087323507,0.14459555567209753,-0.004385400869477363,-0.0026933212598241885,-0.007831620166421915,-0.0003571428571429447,-0.0037372386546394853
iscx,mendeley,71,default,0.0035613045530234477,0.0066791366571102295,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,71,validation_f1,0.0035613045530234477,0.0066791366571102295,0.0004892816471004924,0.00028459005282072125,0.0009789525208028227,0.0,0.0004894762604014113
iscx,mendeley,71,validation_fpr_limit,0.0035613045530234477,0.0066791366571102295,0.0028986031163471537,0.0017756187817593028,0.005221080110948018,0.00017857142857136132,0.002521254341188328
mendeley,iscx,11,default,-0.010322706287818395,-0.010859360834280879,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,11,validation_f1,-0.010322706287818395,-0.010859360834280879,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,11,validation_fpr_limit,-0.010322706287818395,-0.010859360834280879,-0.011482545761944407,-0.014515401896492308,-0.009228740936058022,0.018637532133676027,-0.013933136534867052
mendeley,iscx,23,default,-0.006097155303176671,-0.005801431251302724,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,23,validation_f1,-0.006097155303176671,-0.005801431251302724,0.0,0.0,0.0,0.0,0.0
