source,target,operating_point,average_precision_ddqn_minus_dqn_mean,average_precision_ddqn_minus_dqn_std,average_precision_ddqn_minus_dqn_count,roc_auc_ddqn_minus_dqn_mean,roc_auc_ddqn_minus_dqn_std,roc_auc_ddqn_minus_dqn_count,f1_ddqn_minus_dqn_mean,f1_ddqn_minus_dqn_std,f1_ddqn_minus_dqn_count,precision_ddqn_minus_dqn_mean,precision_ddqn_minus_dqn_std,precision_ddqn_minus_dqn_count,recall_ddqn_minus_dqn_mean,recall_ddqn_minus_dqn_std,recall_ddqn_minus_dqn_count,fpr_ddqn_minus_dqn_mean,fpr_ddqn_minus_dqn_std,fpr_ddqn_minus_dqn_count,balanced_accuracy_ddqn_minus_dqn_mean,balanced_accuracy_ddqn_minus_dqn_std,balanced_accuracy_ddqn_minus_dqn_count
iscx,iscx,default,-0.0002600094387574803,0.0005816391761217465,5,-0.0001198499270478326,0.00044650893243038304,5,0.004820766946764854,0.006409405797677503,5,0.0020179370462923398,0.00956233897492216,5,0.006987475280158218,0.01555478571259341,5,-0.0017994858611825205,0.010436273986676884,5,0.004393480570670305,0.005561188954531518,5
iscx,iscx,validation_f1,-0.0002600094387574803,0.0005816391761217465,5,-0.0001198499270478326,0.00044650893243038304,5,0.007948543400916575,0.011943814347075492,5,0.02862071430700359,0.048718993151614244,5,-0.014238628872775227,0.030741431108160588,5,-0.03470437017994858,0.05919403424865697,5,0.010232870653586645,0.015541571245579883,5
iscx,iscx,validation_fpr_limit,-0.0002600094387574803,0.0005816391761217465,5,-0.0001198499270478326,0.00044650893243038304,5,-0.00099174395782895,0.008286231967646118,5,-0.0010954857219086067,0.0020283131586380067,5,-0.0009228740936058077,0.011723681603237,5,0.0007712082262210793,0.0013932829941310277,5,-0.0008470411599133864,0.006082474735320989,5
iscx,mendeley,default,0.0214565962443344,0.08861266105317987,5,0.027169784164277573,0.12028947312009902,5,0.0006572230440527127,0.004627809559023568,5,0.0003519823360164098,0.0022432363751426257,5,0.0014031652798172755,0.01076390336795298,5,0.0002142857142857446,0.003147622199407699,5,0.0005944397827657655,0.0038377053183676823,5
iscx,mendeley,validation_f1,0.0214565962443344,0.08861266105317987,5,0.027169784164277573,0.12028947312009902,5,-0.0036467135725339883,0.010557495710211183,5,-0.0017649593101278006,0.005051538750748915,5,-0.008582150432370695,0.025112830122989538,5,-0.0023571428571428797,0.0073164181461830196,5,-0.0031125037876139072,0.008941207826739378,5
iscx,mendeley,validation_fpr_limit,0.0214565962443344,0.08861266105317987,5,0.027169784164277573,0.12028947312009902,5,0.0001588997311698037,0.004393451695977297,5,6.391042629497746e-05,0.0025842001936759846,5,0.00039158100832108466,0.008443051673350188,5,0.0002142857142857002,0.0006846531968814488,5,8.864764701769224e-05,0.004032492027968764,5
mendeley,iscx,default,-0.029622618268342737,0.04551484021532571,5,-0.02709930132025561,0.06761918819097311,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,validation_f1,-0.029622618268342737,0.04551484021532571,5,-0.02709930132025561,0.06761918819097311,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,validation_fpr_limit,-0.029622618268342737,0.04551484021532571,5,-0.02709930132025561,0.06761918819097311,5,-0.030295102717449517,0.012177486321209664,5,-0.04005355918038811,0.07579486465684415,5,-0.029004614370468012,0.02192259610852458,5,0.0002570694087403513,0.1314708036060407,5,-0.014630841889604207,0.05634722891925352,5
mendeley,mendeley,default,-0.0003683450226519058,0.0017740264273089451,5,-0.0002519229424516878,0.0006784127877053634,5,-0.00038586764076073974,0.0014093170098685732,5,0.0028280196486774045,0.006470155276018076,5,-0.0044705498449991495,0.010986655426572081,5,-0.005464285714285711,0.012530320369863988,5,0.0004968679346432747,0.001015086802032197,5
mendeley,mendeley,validation_f1,-0.0003683450226519058,0.0017740264273089451,5,-0.0002519229424516878,0.0006784127877053634,5,-8.970552999354452e-06,0.0005170500329581391,5,-0.00018769391079775932,0.0009634064020177933,5,0.00022842225485399936,0.0006587250526411328,5,0.0003571428571428614,0.0015921923660827618,5,-6.436030114442826e-05,0.000703275996339676,5
mendeley,mendeley,validation_fpr_limit,-0.0003683450226519058,0.0017740264273089451,5,-0.0002519229424516878,0.0006784127877053634,5,-0.016033618543973217,0.009265644197807447,5,-0.0011591731292650343,0.0029447287883086564,5,-0.011584271496165777,0.006882708473648051,5,-0.0003928571428571427,0.0010211413182496997,5,-0.005595707176654319,0.002980625697644555,5
