source,target,seed,operating_point,average_precision_ddqn_minus_dqn,roc_auc_ddqn_minus_dqn,f1_ddqn_minus_dqn,precision_ddqn_minus_dqn,recall_ddqn_minus_dqn,fpr_ddqn_minus_dqn,balanced_accuracy_ddqn_minus_dqn
iscx,iscx,11,default,-0.0004727772722478152,-0.00045160842075997465,0.010399141519700228,0.008299752380707126,0.012524719841793042,-0.00771208226221079,0.010118401052001902
iscx,iscx,11,validation_f1,-0.0004727772722478152,-0.00045160842075997465,0.022547679393182807,0.062430063774013056,-0.021753460777851008,-0.07583547557840617,0.027041007400277595
iscx,iscx,11,validation_fpr_limit,-0.0004727772722478152,-0.00045160842075997465,0.011541653659925766,-0.0005680845434311577,0.01713909030982197,0.0006426735218508992,0.008248208393985657
iscx,iscx,23,default,-0.00014513849448560823,0.00013387266506603712,-0.0007261242557670133,-0.0035455818443006493,0.0019775873434410007,0.003856041131105395,-0.0009392268938321902
iscx,iscx,23,validation_f1,-0.00014513849448560823,0.00013387266506603712,0.0005430406035432656,0.0017841721454703308,-0.0006591957811470373,-0.0019280205655527044,0.0006344123922027434
iscx,iscx,23,validation_fpr_limit,-0.00014513849448560823,0.00013387266506603712,-0.004529602550305323,-0.00011936592818950764,-0.0065919578114700395,0.0,-0.003295978905734964
iscx,iscx,37,default,0.000624638381029774,0.0003272678283652297,0.0120231760671633,0.0007323259386274872,0.020435069215557045,0.0,0.010217534607778411
iscx,iscx,37,validation_f1,0.000624638381029774,0.0003272678283652297,0.018528608515670286,0.09724169827028017,-0.0646011865524061,-0.11825192802056556,0.026825370734079756
iscx,iscx,37,validation_fpr_limit,0.000624638381029774,0.0003272678283652297,0.003172304096892953,7.780238194987632e-05,0.004614370468029039,0.0,0.0023071852340146304
iscx,iscx,51,default,-0.0009717092367298452,-0.0007257084660058366,-0.0022887691977419022,0.014416164974391243,-0.017798286090969007,-0.0160668380462725,-0.000865724022348302
iscx,iscx,51,validation_f1,-0.0009717092367298452,-0.0007257084660058366,-0.004985070362420685,-0.014869993274472582,0.004614370468029039,0.0160668380462725,-0.005726233789121737
iscx,iscx,51,validation_fpr_limit,-0.0009717092367298452,-0.0007257084660058366,-0.008318999657866422,-0.004699502410524303,-0.009887936717205004,0.0032133676092544975,-0.006550652163229698
iscx,iscx,71,default,-0.00033506057135390677,0.00011692675809538144,0.004696410600469658,-0.00981297621796351,0.017798286090969007,0.010925449871465293,0.0034364181097517044
iscx,iscx,71,validation_f1,-0.00033506057135390677,0.00011692675809538144,0.003108458854607199,-0.0034823693802730205,0.011206328279498967,0.006426735218509005,0.00238979653049487
iscx,iscx,71,validation_fpr_limit,-0.00033506057135390677,0.00011692675809538144,-0.006824075337791724,-0.0001682781093479413,-0.009887936717205004,0.0,-0.004943968358602557
iscx,mendeley,11,default,-0.03105407914601227,-0.05718137426287204,-0.0012718151146461354,-0.0006803238651885701,-0.002773698808941072,-0.00035714285714283367,-0.0012082779758991191
iscx,mendeley,11,validation_f1,-0.03105407914601227,-0.05718137426287204,-0.01121746865148665,-0.005538094998255527,-0.026105400554739755,-0.00642857142857145,-0.009838414563084152
iscx,mendeley,11,validation_fpr_limit,-0.03105407914601227,-0.05718137426287204,0.0071213247660095735,0.004121569275751302,0.01386849404470547,0.001071428571428501,0.006398532736638485
iscx,mendeley,23,default,0.021997071166962423,0.029644139104491568,0.002347333609743263,0.0012730636340748669,0.0050579213574808435,0.000535714285714306,0.0022611035358832687
iscx,mendeley,23,validation_f1,0.021997071166962423,0.029644139104491568,0.00043365943805762086,0.00027241263039823327,0.0008157937673355375,-0.00017857142857147235,0.0004971825979535049
iscx,mendeley,23,validation_fpr_limit,0.021997071166962423,0.029644139104491568,0.00022316426903334907,0.00010934398789447242,0.0004894762604014113,0.00017857142857136132,0.000155452415915025
iscx,mendeley,37,default,-0.027210311178850533,-0.03806263548003638,0.001567239894482375,0.0007627419375080269,0.0035894925762767205,0.001071428571428612,0.0012590320024240542
iscx,mendeley,37,validation_f1,-0.027210311178850533,-0.03806263548003638,-0.018120811033801143,-0.008608206157213416,-0.04323706966878771,-0.0128571428571429,-0.015189963405822404
iscx,mendeley,37,validation_fpr_limit,-0.027210311178850533,-0.03806263548003638,-0.0035250214030198013,-0.0022167258077439578,-0.006363191385217792,0.0007142857142857784,-0.0035387385497517854
iscx,mendeley,51,default,0.17477701918290467,0.23429302729412868,-0.005924741049143423,-0.0027978522557691177,-0.014031652798172645,-0.004464285714285698,-0.004783683541943473
iscx,mendeley,51,validation_f1,0.17477701918290467,0.23429302729412868,0.0046226704530234475,0.002358716475095779,0.010442160221895924,0.002142857142857113,0.004149651539519406
iscx,mendeley,51,validation_fpr_limit,0.17477701918290467,0.23429302729412868,0.0006751916286247273,0.0004533990875641991,0.0011421112742697748,-0.00035714285714283367,0.0007496270657063042
iscx,mendeley,71,default,-0.031226718803332276,-0.03284423583432397,0.006568097879827484,0.003202282229456843,0.01517376407244253,0.004285714285714337,0.005444024893364097
iscx,mendeley,71,validation_f1,-0.031226718803332276,-0.03284423583432397,0.006048381931536784,0.0026903754993359286,0.01517376407244253,0.0055357142857143105,0.00481902489336411
iscx,mendeley,71,validation_fpr_limit,-0.031226718803332276,-0.03284423583432397,-0.00370016060479883,-0.0021480344119911288,-0.007178985152553441,-0.000535714285714306,-0.0033216354334195675
mendeley,iscx,11,default,-0.0323523799700316,-0.032649890783629565,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,11,validation_f1,-0.0323523799700316,-0.032649890783629565,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,11,validation_fpr_limit,-0.0323523799700316,-0.032649890783629565,-0.049087612087510724,-0.07592005054588197,-0.03098220171390903,0.10154241645244211,-0.0662623090831756
mendeley,iscx,23,default,-0.07634378504425232,-0.12348673050754688,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,23,validation_f1,-0.07634378504425232,-0.12348673050754688,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,23,validation_fpr_limit,-0.07634378504425232,-0.12348673050754688,-0.03576607519826552,-0.13118058908739738,-0.015161502966381024,0.055269922879177376,-0.03521571292277925
mendeley,iscx,37,default,-0.026740166145992506,-0.015494913686022849,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,37,validation_f1,-0.026740166145992506,-0.015494913686022849,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,37,validation_fpr_limit,-0.026740166145992506,-0.015494913686022849,-0.02515775991889163,-0.05203406739580252,-0.009228740936057966,0.07712082262210795,-0.04317478177908296
mendeley,iscx,51,default,-0.05635569544347352,-0.030683530103556456,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,51,validation_f1,-0.05635569544347352,-0.030683530103556456,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,51,validation_fpr_limit,-0.05635569544347352,-0.030683530103556456,-0.0201083924497214,-0.012925027870680061,-0.02439024390243899,-0.009640102827763508,-0.007375070537337769
mendeley,iscx,71,default,0.043678935262036256,0.06681855847947771,0.0,0.0,0.0,0.0,0.0
