source,target,model,operating_point,average_precision_mean,average_precision_std,average_precision_count,roc_auc_mean,roc_auc_std,roc_auc_count,f1_mean,f1_std,f1_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,fpr_mean,fpr_std,fpr_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count
iscx,iscx,always_malicious,default,0.4936544093719492,0.0,5,0.5,0.0,5,0.6610021786492375,0.0,5,0.4936544093719492,0.0,5,1.0,0.0,5,1.0,0.0,5,0.5,0.0,5
iscx,iscx,always_malicious,validation_f1,0.4936544093719492,0.0,5,0.5,0.0,5,0.6610021786492375,0.0,5,0.4936544093719492,0.0,5,1.0,0.0,5,1.0,0.0,5,0.5,0.0,5
iscx,iscx,always_malicious,validation_fpr_limit,0.4936544093719492,0.0,5,0.5,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5
iscx,iscx,ddqn,default,0.9431694674838642,0.0009056344408170812,5,0.9400089898036479,0.0007021746041440914,5,0.8506791526666946,0.005661785622154235,5,0.7930311421127235,0.03144981396499299,5,0.9194462755438366,0.0306699648172471,5,0.23650385604113114,0.051381738023924664,5,0.8414712097513528,0.011046512143655506,5
iscx,iscx,ddqn,validation_f1,0.9431694674838642,0.0009056344408170812,5,0.9400089898036479,0.0007021746041440914,5,0.8585304226801906,0.006451780290146507,5,0.8485686293853636,0.042824958904862466,5,0.8713249835201055,0.030895824837401546,5,0.15501285347043703,0.05456180867808654,5,0.8581560650248342,0.011871324771462825,5
iscx,iscx,ddqn,validation_fpr_limit,0.9431694674838642,0.0009056344408170812,5,0.9400089898036479,0.0007021746041440914,5,0.7054224097371627,0.03448023634520016,5,0.9835406942345903,0.0039452197175694455,5,0.5509558338826632,0.04186126777075393,5,0.009125964010282777,0.002665352359039553,5,0.7709149349361902,0.019609127772575986,5
iscx,iscx,dqn,default,0.9435907171185056,0.000619447569952167,5,0.940342527617592,0.0005292861296622438,5,0.8504146987830475,0.006045720161061243,5,0.7858677327142601,0.030291942757127693,5,0.9284113381674357,0.028401318460106104,5,0.24897172236503856,0.048897277586058684,5,0.8397198079011986,0.0111062277128402,5
iscx,iscx,dqn,validation_f1,0.9435907171185056,0.000619447569952167,5,0.940342527617592,0.0005292861296622438,5,0.8615522244646414,0.006082318698460061,5,0.865508354473427,0.041447568159882715,5,0.8599868160843771,0.030058893935739756,5,0.1334190231362468,0.052551284592370066,5,0.8632838964740651,0.011277690977259407,5
iscx,iscx,dqn,validation_fpr_limit,0.9435907171185056,0.000619447569952167,5,0.940342527617592,0.0005292861296622438,5,0.7172913474401199,0.015952898341871788,5,0.9838262026850796,0.004333826986497633,5,0.5646671061305207,0.020765190270794813,5,0.009125964010282777,0.002665352359039553,5,0.777770571060119,0.009131970284436481,5
iscx,iscx,logistic,default,0.9130877806459082,0.0,5,0.929588909242806,0.0,5,0.8617666891436278,0.0,5,0.8819875776397514,0.0,5,0.8424522083058669,0.0,5,0.10989717223650386,0.0,5,0.8662775180346817,0.0,5
iscx,iscx,logistic,validation_f1,0.9130877806459082,0.0,5,0.929588909242806,0.0,5,0.8617666891436278,0.0,5,0.8819875776397514,0.0,5,0.8424522083058669,0.0,5,0.10989717223650386,0.0,5,0.8662775180346817,0.0,5
iscx,iscx,logistic,validation_fpr_limit,0.9130877806459082,0.0,5,0.929588909242806,0.0,5,0.17703349282296652,0.0,5,0.9548387096774194,0.0,5,0.0975609756097561,0.0,5,0.004498714652956298,0.0,5,0.5465311304784,0.0,5
iscx,iscx,mlp,default,0.9454383922835291,0.0002493828253745567,5,0.9418011889248332,0.00033273985238595666,5,0.8571417641187299,0.0004960030200603541,5,0.817536509415215,0.015094398353056392,5,0.9013843111404087,0.01948032280826873,5,0.1967866323907455,0.025164587316727608,5,0.8522988393748315,0.002887504899719247,5
iscx,iscx,mlp,validation_f1,0.9454383922835291,0.0002493828253745567,5,0.9418011889248332,0.00033273985238595666,5,0.85830179402692,0.0005632474532074385,5,0.8263608949828193,0.001450889477948919,5,0.8928147659854977,0.001444225596585788,5,0.1829048843187661,0.0020625715341749647,5,0.8549549408333658,0.000656168663149819,5
iscx,iscx,mlp,validation_fpr_limit,0.9454383922835291,0.0002493828253745567,5,0.9418011889248332,0.00033273985238595666,5,0.734531687080986,0.0009480957997411439,5,0.9812650931338988,3.749497819913287e-05,5,0.5869479235332894,0.001197488604125587,5,0.010925449871465296,0.0,5,0.788011236830912,0.0005987443020627487,5
iscx,iscx,random_forest,default,0.9498971912247267,0.00014974371419039677,5,0.9481706893425497,0.00015595157963885556,5,0.8716583628623085,0.0005765143135266808,5,0.8900282617683268,0.010202248600535504,5,0.8541858932102835,0.008549238147329441,5,0.10308483290488431,0.012071318130461589,5,0.8755505301526997,0.0017610399915660862,5
iscx,iscx,random_forest,validation_f1,0.9498971912247267,0.00014974371419039677,5,0.9481706893425497,0.00015595157963885556,5,0.8702785544678451,0.000477214559155272,5,0.8543726581907312,0.023833142651942134,5,0.8879367172050099,0.025273947940251586,5,0.14884318766066837,0.03308863779272854,5,0.8695467647721709,0.003907344926238506,5
iscx,iscx,random_forest,validation_fpr_limit,0.9498971912247267,0.00014974371419039677,5,0.9481706893425497,0.00015595157963885556,5,0.8106802901399961,0.0005550265135984487,5,0.9897356457559245,0.00042914509333864543,5,0.6864864864864865,0.0005896026308503031,5,0.006940874035989716,0.00028741233643956145,5,0.8397728062252483,0.00043850748364493045,5
