source,target,model,operating_point,average_precision_mean,average_precision_std,average_precision_count,roc_auc_mean,roc_auc_std,roc_auc_count,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,fpr_mean,fpr_std,fpr_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,predicted_malicious_fraction_mean,predicted_malicious_fraction_std,predicted_malicious_fraction_count
iscx,iscx,always_malicious,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,iscx,always_malicious,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,iscx,always_malicious,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,iscx,ddqn,default,-0.01957246006259612,0.0020191667876982952,5,-0.018203166173258366,0.0013622732741956573,5,-0.05228589341222591,0.01170429213656546,5,0.02768622280817399,0.022041204347133126,5,-0.12202494348963726,0.025074345448490694,5,0.15539845758354756,0.04361760375755603,5,-0.06385611738768678,0.015450713096552618,5,0.0923527497559388,0.03105573399741128,5
iscx,iscx,ddqn,validation_f1,-0.01957246006259612,0.0020191667876982952,5,-0.018203166173258366,0.0013622732741956573,5,-0.04837650990611266,0.006094721230163013,5,-0.034146341463414644,0.030860643172072554,5,-0.059781204914440965,0.042197135397185004,5,0.06593830334190232,0.05387467390618677,5,-0.05004232240265847,0.011510735297674175,5,0.016531077123332273,0.04251268928536985,5
iscx,iscx,ddqn,validation_fpr_limit,-0.01957246006259612,0.0020191667876982952,5,-0.018203166173258366,0.0013622732741956573,5,-0.03974676562020694,0.037694742529172515,5,-0.04812129202373104,0.04637853421051512,5,-0.003018000455070613,0.002428537465749186,5,0.0011568123393316198,0.0016635191652371191,5,-0.024639052181531285,0.022573722224599146,5,-0.023169541164985354,0.023531795524123017,5
iscx,iscx,dqn,default,-0.019214948760148086,0.0020075163427790256,5,-0.017942072111612473,0.0013342260353917583,5,-0.052979615954592864,0.012663458323398902,5,0.03586025049439685,0.005326856651506089,5,-0.12922100108454068,0.02120269593206492,5,0.167866323907455,0.03772225326908668,5,-0.0660030367065291,0.01644694311311243,5,0.10270094370322158,0.021542122547914835,5
iscx,iscx,dqn,validation_f1,-0.019214948760148086,0.0020075163427790256,5,-0.017942072111612473,0.0013342260353917583,5,-0.04526184503875832,0.005881042381309788,5,-0.04706657877389586,0.027973522685745402,5,-0.04108205339644524,0.03877600297823517,5,0.042287917737789206,0.04944285848979587,5,-0.04467724825584254,0.010836007623600673,5,-0.0018223234624145767,0.03881628309020036,5
iscx,iscx,dqn,validation_fpr_limit,-0.019214948760148086,0.0020075163427790256,5,-0.017942072111612473,0.0013342260353917583,5,-0.024994886192444433,0.03616371581944907,5,-0.03085036255767961,0.0455021795564167,5,-0.0027787040016429287,0.0024089326379193904,5,0.0012853470437017998,0.0015072030076553437,5,-0.016067854800690683,0.022349195683424236,5,-0.014578587699316626,0.022887334984890685,5
iscx,iscx,logistic,default,-0.02340658991173683,0.0,5,-0.0011972283274559459,0.0,5,0.0361291977583762,0.0,5,0.052735662491760094,0.0,5,0.01700562818126783,0.0,5,-0.010282776349614386,0.0,5,0.031509219420687296,0.0,5,0.020826553856166607,0.0,5
iscx,iscx,logistic,validation_f1,-0.02340658991173683,0.0,5,-0.0011972283274559459,0.0,5,0.00287887172157697,0.0,5,-0.03823335530652605,0.0,5,0.043844541253302394,0.0,5,-0.05591259640102828,0.0,5,0.008839620547251181,0.0,5,-0.04718516108037751,0.0,5
iscx,iscx,logistic,validation_fpr_limit,-0.02340658991173683,0.0,5,-0.0011972283274559459,0.0,5,-0.4784878446165407,0.0,5,-0.39353988134475937,0.0,5,-0.030611025772316114,0.0,5,-0.0025706940874035984,0.0,5,-0.19548459362867787,0.0,5,-0.1955743573055646,0.0,5
iscx,iscx,mlp,default,-0.021301924217513958,0.00043572163957911067,5,-0.019488767405564555,0.00042660462555632714,5,-0.04658041842720075,0.0067879643461676315,5,0.017666446934739642,0.03211981753851434,5,-0.10743098849309626,0.018908608169892958,5,0.12673521850899744,0.02957485510988994,5,-0.05453438578712886,0.0050653824029713735,5,0.07289293849658314,0.03043890726285331,5
iscx,iscx,mlp,validation_f1,-0.021301924217513958,0.00043572163957911067,5,-0.019488767405564555,0.00042660462555632714,5,-0.03974340400899732,0.010684140149264137,5,-0.025708635464733055,0.010659829682792523,5,-0.05270908675788999,0.02907202755368529,5,0.05861182519280206,0.03491024813373986,5,-0.04216023032876757,0.012708738738815253,5,0.016986657988935894,0.022620900540640896,5
iscx,iscx,mlp,validation_fpr_limit,-0.021301924217513958,0.00043572163957911067,5,-0.019488767405564555,0.00042660462555632714,5,-0.06303168840887444,0.0043230850485297375,5,-0.08213579433091626,0.005980181110107686,5,-0.0058934032691867035,0.0005094660148894302,5,0.00244215938303342,0.00028741233643956216,5,-0.04228897685697477,0.0030944437493485685,5,-0.03931012040351448,0.0028499360944759223,5
iscx,iscx,random_forest,default,-0.02038487322949554,0.0004889731552924184,5,-0.014902527143106447,0.0006574458539208289,5,-0.029223462722582604,0.0010370829979755056,5,-0.040342781806196416,0.00972620980931998,5,-0.017308544456790132,0.011477325282858998,5,0.014010282776349612,0.013522131913762097,5,-0.027176532291273037,0.002096528401764814,5,-0.012821347217702594,0.011614166881260109,5
iscx,iscx,random_forest,validation_f1,-0.02038487322949554,0.0004889731552924184,5,-0.014902527143106447,0.0006574458539208289,5,-0.0335505760565777,0.0026390163334626877,5,0.02966381015161501,0.03530545772121542,5,-0.10102309869842996,0.0401023698679617,5,0.10886889460154241,0.04814607036611714,5,-0.03960254222496369,0.006536240164496938,5,0.06976895541815815,0.041789279732319946,5
iscx,iscx,random_forest,validation_fpr_limit,-0.02038487322949554,0.0004889731552924184,5,-0.014902527143106447,0.0006574458539208289,5,-0.0803854585859503,0.002095997745845037,5,-0.13315754779169411,0.0038998548339483335,5,0.013600291272987276,0.0006612914873203042,5,-0.012596401028277634,0.0005748246728791228,5,-0.060280573381708225,0.0017275912348715253,5,-0.07211194272697688,0.002165904496230901,5
iscx,mendeley,always_malicious,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,always_malicious,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,always_malicious,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,ddqn,default,0.15934548436180224,0.11076819182626486,5,0.2687852539449455,0.16674133033519908,5,-0.013514931362892502,0.011939752238167478,5,-0.1416217980094632,0.021471344807183202,5,0.042049001311534204,0.005377285760202413,5,-0.28778571428571426,0.008388676770455746,5,0.07308195813812553,0.007460070456296056,5,-0.21140762213317416,0.01479744324308668,5
iscx,mendeley,ddqn,validation_f1,0.15934548436180224,0.11076819182626486,5,0.2687852539449455,0.16674133033519908,5,-0.043916117820092214,0.018843375234611475,5,-0.20019579050416056,0.03763754527631884,5,0.02827234126507714,0.006549090719543427,5,-0.3072142857142857,0.021703078052174463,5,0.05350924760506257,0.008429040531983147,5,-0.251291670219115,0.029903566736437317,5
iscx,mendeley,ddqn,validation_fpr_limit,0.15934548436180224,0.11076819182626486,5,0.2687852539449455,0.16674133033519908,5,-0.11843059216574887,0.021486225097567403,5,-0.3801598955783978,0.02999792488288946,5,0.1881991626778603,0.01971365592203842,5,-0.7505714285714286,0.03033045044983332,5,0.1852057664965154,0.00829470007806485,5,-0.5570125330377695,0.028996402862280415,5
iscx,mendeley,dqn,default,0.17050997114138872,0.1167644163470241,5,0.28190220380859143,0.17772689489092766,5,-0.009764716620960656,0.012573464006683514,5,-0.13431228585413613,0.022945829423094838,5,0.04374738074114892,0.0053537172752812535,5,-0.2855357142857143,0.009404290976756817,5,0.07561171421578909,0.007419975324514191,5,-0.20651376928979454,0.016199097154461158,5
iscx,mendeley,dqn,validation_f1,0.17050997114138872,0.1167644163470241,5,0.28190220380859143,0.17772689489092766,5,-0.05259962873824746,0.018962694485634188,5,-0.2173274596182085,0.038097656278559676,5,0.02500618451349592,0.006571937804535353,5,-0.3158214285714286,0.021465593019375666,5,0.04924698447661002,0.008605910094427792,5,-0.2643533123028391,0.03007541895422989,5
iscx,mendeley,dqn,validation_fpr_limit,0.17050997114138872,0.1167644163470241,5,0.28190220380859143,0.17772689489092766,5,-0.11050932027547308,0.011902796394384237,5,-0.36746614455865556,0.019671763410047387,5,0.1734154897441019,0.006959034095793882,5,-0.7289642857142857,0.005048236709738503,5,0.18074907057781506,0.008705385553190328,5,-0.5400630914826499,0.011779385626406302,5
iscx,mendeley,logistic,default,0.2803535001583548,0.0,5,0.4343037345873249,0.0,5,-0.03687855886256397,0.0,5,-0.1926904878446729,0.0,5,0.038134729049330296,0.0,5,-0.3298214285714286,0.0,5,0.06856547036337785,0.0,5,-0.25816352630232753,0.0,5
iscx,mendeley,logistic,validation_f1,0.2803535001583548,0.0,5,0.4343037345873249,0.0,5,-0.05137738170123474,0.0,5,-0.22483276227769622,0.0,5,0.030761327010178585,0.0,5,-0.33785714285714286,0.0,5,0.05651219028972332,0.0,5,-0.2787961463040327,0.0,5
iscx,mendeley,logistic,validation_fpr_limit,0.2803535001583548,0.0,5,0.4343037345873249,0.0,5,-0.45149435322971476,0.0,5,-0.6005873715124816,0.0,5,0.5779142449830026,0.0,5,-0.9410714285714284,0.0,5,0.1702420285294735,0.0,5,-0.7631511637820786,0.0,5
iscx,mendeley,mlp,default,0.24574005605722885,0.0024005242402806728,5,0.41085744003915814,0.005123969234669732,5,-0.030331072935198943,0.012738265522666672,5,-0.17144721814325334,0.024763446346623186,5,0.032482353294884324,0.0066712663943001285,5,-0.28835714285714287,0.0047201667862264915,5,0.05845496235694474,0.01024565708904359,5,-0.22726575155597234,0.015043955976446243,5
iscx,mendeley,mlp,validation_f1,0.24574005605722885,0.0024005242402806728,5,0.41085744003915814,0.005123969234669732,5,-0.04887772324292585,0.004990460384654478,5,-0.21054005547397617,0.010173965516756095,5,0.022691658609892373,0.002483450763464086,5,-0.29528571428571426,0.002756601538274294,5,0.04237282940586905,0.0038844984683088627,5,-0.2510017904339671,0.006531344149076033,5
iscx,mendeley,mlp,validation_fpr_limit,0.24574005605722885,0.0024005242402806728,5,0.41085744003915814,0.005123969234669732,5,-0.12781203671413763,0.008680119737977722,5,-0.3903736335454397,0.00984957381316083,5,0.12919928266177233,0.05181568500575158,5,-0.6836071428571429,0.06647300741117189,5,0.14661675465585153,0.028505637389276466,5,-0.5303776963082957,0.03673502089544041,5
iscx,mendeley,random_forest,default,0.09068198735545242,0.0035954518098602712,5,0.18396557350301831,0.006797878030657291,5,-0.014488640088420924,0.003039801942673587,5,-0.24460760319791158,0.005469348148964493,5,0.10232605463752316,0.0010700288099246905,5,-0.5076071428571429,0.0016874763792753763,5,0.1314997698296156,0.001902169654041838,5,-0.3701764856338989,0.0036578889777681405,5
iscx,mendeley,random_forest,validation_f1,0.09068198735545242,0.0035954518098602712,5,0.18396557350301831,0.006797878030657291,5,-0.0035946604259148975,0.005946337671243765,5,-0.1855115026921194,0.04357927239779453,5,0.08368837366272378,0.034106996004864866,5,-0.41817857142857146,0.11408655917632839,5,0.11633353436822595,0.036060769427873104,5,-0.2965981754625288,0.07687017965036151,5
iscx,mendeley,random_forest,validation_fpr_limit,0.09068198735545242,0.0035954518098602712,5,0.18396557350301831,0.006797878030657291,5,-0.0970723331185475,0.0015198289083339638,5,-0.3556208190569424,0.003705536091044547,5,0.07145646006390297,0.0009167759222914894,5,-0.5494999999999999,0.0002328286573286901,5,0.09693959047152877,0.0019366898601978102,5,-0.4481882513428255,0.0018595402768282463,5
mendeley,iscx,always_malicious,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,always_malicious,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,always_malicious,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,ddqn,default,0.38864448098667276,0.06112065377798822,5,0.5965435433552557,0.07032414774494386,5,0.1114809877736854,0.07431036180562689,5,-0.30112063282794993,0.11812983359583355,5,0.3823392246548328,0.01842716044010092,5,-0.9026992287917738,0.02511201042498996,5,0.3007892979819119,0.04905697588381359,5,-0.6057273023104458,0.0692956501601405,5
mendeley,iscx,ddqn,validation_f1,0.38864448098667276,0.06112065377798822,5,0.5965435433552557,0.07032414774494386,5,0.0016230905630831849,0.0024086214377005027,5,-0.02083058668424522,0.044758859578405336,5,0.007843865837559827,0.014030924613204683,5,-0.0480719794344473,0.09154590497883207,5,0.013620696375101039,0.02366373844478419,5,-0.034624145785877004,0.06835634211516489,5
mendeley,iscx,ddqn,validation_fpr_limit,0.38864448098667276,0.06112065377798822,5,0.5965435433552557,0.07032414774494386,5,0.08043051065676692,0.04166019548113371,5,-0.018984838497033623,0.026212462493001795,5,0.5787958234958636,0.08419074393416627,5,-0.48920308483290487,0.11069237548481188,5,0.23510912316793559,0.06678437150913058,5,-0.2570777741620566,0.04564980772097158,5
mendeley,iscx,dqn,default,0.39116402545342793,0.06465502284478337,5,0.6040445643461507,0.07278763300673889,5,0.1257267155714158,0.046284188460407064,5,-0.29241924851680945,0.08219433925493218,5,0.40071353569850815,0.030271912546726166,5,-0.9160668380462724,0.030685894106544286,5,0.3118237947647315,0.029320886846886916,5,-0.6082004555808657,0.05433503236694665,5
