source,target,seed,operating_point,average_precision_ddqn_minus_dqn,roc_auc_ddqn_minus_dqn,f1_ddqn_minus_dqn,precision_ddqn_minus_dqn,recall_ddqn_minus_dqn,fpr_ddqn_minus_dqn,balanced_accuracy_ddqn_minus_dqn
iscx,iscx,11,default,-5.2152366144531115e-05,-0.0001082419807731938,0.0013726689520774382,0.003962075616387395,-0.002636783124588038,-0.007069408740359884,0.002216312807886034
iscx,iscx,11,validation_f1,-5.2152366144531115e-05,-0.0001082419807731938,-0.00077214926285607,-0.00014601005184844418,-0.0013183915622939635,0.0,-0.0006591957811469262
iscx,iscx,11,validation_fpr_limit,-5.2152366144531115e-05,-0.0001082419807731938,0.00581777610905454,0.00023529648615527865,0.007251153592616966,0.0,0.003625576796308483
iscx,iscx,23,default,1.7940047074560539e-06,4.893130637684262e-05,0.0,0.0,0.0,0.0,0.0
iscx,iscx,23,validation_f1,1.7940047074560539e-06,4.893130637684262e-05,-0.00045016386745400094,-0.0013934048954910017,0.0006591957811470373,0.0019280205655526905,-0.0006344123922028544
iscx,iscx,23,validation_fpr_limit,1.7940047074560539e-06,4.893130637684262e-05,0.0010477428194356486,4.169691737143655e-05,0.0013183915622940745,0.0,0.0006591957811470373
iscx,iscx,37,default,-0.0005413287850076776,-0.00041115006786840436,0.0,0.0,0.0,0.0,0.0
iscx,iscx,37,validation_f1,-0.0005413287850076776,-0.00041115006786840436,-0.012102583455464222,-0.07935513892509571,0.056690837178642095,0.10089974293059124,-0.022104452875974623
iscx,iscx,37,validation_fpr_limit,-0.0005413287850076776,-0.00041115006786840436,-0.020982608961331417,-0.0007741679348904906,-0.02570863546473301,0.0,-0.01285431773236645
iscx,iscx,51,default,-0.0015582300801113558,-0.0013274999872905369,-5.0399533842004907e-05,0.03185497137592941,-0.04218852999340805,-0.05526992287917734,0.006540696442884686
iscx,iscx,51,validation_f1,-0.0015582300801113558,-0.0013274999872905369,-0.001784112336480237,-0.0038040715678817616,0.0006591957811469262,0.005141388174807221,-0.0022410961968301057
iscx,iscx,51,validation_fpr_limit,-0.0015582300801113558,-0.0013274999872905369,-0.04414666232914577,-0.0008901799100450303,-0.05009887936717211,0.0,-0.025049439683586083
iscx,iscx,71,default,4.3669053348738274e-05,0.00013027165983447997,0.0,0.0,0.0,0.0,0.0
iscx,iscx,71,validation_f1,4.3669053348738274e-05,0.00013027165983447997,0.0,0.0,0.0,0.0,0.0
iscx,iscx,71,validation_fpr_limit,4.3669053348738274e-05,0.00013027165983447997,-0.001080936152798584,-4.018781103687363e-05,-0.0013183915622939635,0.0,-0.0006591957811469262
iscx,mendeley,11,default,-0.0007828821822457588,-0.00045483416078129224,-0.0060640636841231554,-0.0022869616540807103,-0.012889541523902759,-0.0055357142857141994,-0.0036769136190942797
iscx,mendeley,11,validation_f1,-0.0007828821822457588,-0.00045483416078129224,-0.00021238559640790466,-0.00013135154372800883,-0.0003263175069342372,0.0,-0.0001631587534671186
iscx,mendeley,11,validation_fpr_limit,-0.0007828821822457588,-0.00045483416078129224,0.002139224094943659,0.0014634853323455266,0.0021210637950725975,0.0,0.0010605318975362987
iscx,mendeley,23,default,0.002241884928914306,0.0010508880497867024,-0.0004422388516371889,-0.00022081529028850078,-0.0008157937673355375,-0.00017857142857147235,-0.0003186111693821436
iscx,mendeley,23,validation_f1,0.002241884928914306,0.0010508880497867024,0.00039856037320396,0.00023884274581453813,0.0006526350138684744,0.0,0.0003263175069342372
iscx,mendeley,23,validation_fpr_limit,0.002241884928914306,0.0010508880497867024,0.0026179556142591487,0.001777607171035367,0.0026105400554739533,0.0,0.00130527002773706
iscx,mendeley,37,default,0.00520831356396545,0.005676613523529772,0.00028250757005421345,0.00016310797599827787,0.0004894762604014113,0.0,0.0002447381302007612
iscx,mendeley,37,validation_f1,0.00520831356396545,0.005676613523529772,0.03782831095238082,0.013269168935134301,0.07554250285527819,0.04160714285714284,0.016967679999067675
iscx,mendeley,37,validation_fpr_limit,0.00520831356396545,0.005676613523529772,-0.01344278749393285,0.0212477584181211,-0.021210637950726086,-0.03267857142857142,0.00573396673892268
iscx,mendeley,51,default,-0.00254179225103468,-0.000510832575810527,-0.012475149768509275,-0.006141536807737991,-0.02316854299233151,-0.005357142857142838,-0.008905700067594391
