source,target,operating_point,average_precision_ddqn_minus_dqn_mean,average_precision_ddqn_minus_dqn_std,average_precision_ddqn_minus_dqn_count,roc_auc_ddqn_minus_dqn_mean,roc_auc_ddqn_minus_dqn_std,roc_auc_ddqn_minus_dqn_count,f1_ddqn_minus_dqn_mean,f1_ddqn_minus_dqn_std,f1_ddqn_minus_dqn_count,precision_ddqn_minus_dqn_mean,precision_ddqn_minus_dqn_std,precision_ddqn_minus_dqn_count,recall_ddqn_minus_dqn_mean,recall_ddqn_minus_dqn_std,recall_ddqn_minus_dqn_count,fpr_ddqn_minus_dqn_mean,fpr_ddqn_minus_dqn_std,fpr_ddqn_minus_dqn_count,balanced_accuracy_ddqn_minus_dqn_mean,balanced_accuracy_ddqn_minus_dqn_std,balanced_accuracy_ddqn_minus_dqn_count
iscx,iscx,default,-0.00042124963464147404,0.0006779549462504113,5,-0.00033353781394416247,0.0005929048263450035,5,0.00026445388364708665,0.0006198953303035783,5,0.00716340939846336,0.013909215232187683,5,-0.008965062623599218,0.018607545170074992,5,-0.012467866323907445,0.024122098072381477,5,0.001751401850154144,0.0028441039984829697,5
iscx,iscx,validation_f1,-0.00042124963464147404,0.0006779549462504113,5,-0.00033353781394416247,0.0005929048263450035,5,-0.003021801784450906,0.005118545081241206,5,-0.016939725088063386,0.0349245633478681,5,0.011338167435728418,0.02536576457786922,5,0.021593830334190232,0.044383109728295476,5,-0.005127831449230902,0.009526188776371746,5
iscx,iscx,validation_fpr_limit,-0.00042124963464147404,0.0006779549462504113,5,-0.00033353781394416247,0.0005929048263450035,5,-0.011868937702957116,0.02074217906514146,5,-0.00028550845048913587,0.0005106121367114392,5,-0.01371127224785761,0.023910731163420216,5,0.0,0.0,5,-0.006855636123928787,0.011955365581710117,5
iscx,mendeley,default,0.0007412079034712082,0.003027177401231944,5,0.0009204484534880875,0.002779597946292078,5,-0.003760095375167016,0.0055225976330186685,5,-0.0017094933901247388,0.002665330479011826,5,-0.007309512155327114,0.010448786443873587,5,-0.002214285714285702,0.0029521049218121528,5,-0.002547613220520728,0.003890616495933171,5
iscx,mendeley,validation_f1,0.0007412079034712082,0.003027177401231944,5,0.0009204484534880875,0.002779597946292078,5,0.00855948491019487,0.016490434057783724,5,0.0032186352163249944,0.005738609128346472,5,0.016805351607113717,0.03302141307964098,5,0.00842857142857143,0.018548835845531908,5,0.004188390089271132,0.00732882635706736,5
iscx,mendeley,validation_fpr_limit,0.0007412079034712082,0.003027177401231944,5,0.0009204484534880875,0.002779597946292078,5,-0.007982487330844012,0.014654984930468571,5,0.014511320667738437,0.020635569936526817,5,-0.012236906510034262,0.020770884722518024,5,-0.01989285714285714,0.029789225555285476,5,0.0038279753164114803,0.004542462442888555,5
mendeley,iscx,default,-0.007553282392210048,0.011736156352881656,5,-0.010827163611037305,0.01611298425121654,5,-0.014245753236634262,0.04438115999372543,5,-0.018374332512387716,0.013834355678461252,5,-0.008701384311140448,0.06515776008061322,5,0.013367609254498716,0.013891265898309815,5,-0.011034496782819581,0.028005845373159168,5
mendeley,iscx,validation_f1,-0.007553282392210048,0.011736156352881656,5,-0.010827163611037305,0.01611298425121654,5,0.0005489559976464165,0.0012275029273936017,5,0.006475442846011236,0.014479530388095829,5,-0.02017139090309823,0.04510460126004852,5,-0.04203084832904884,0.09398383401573666,5,0.010929728712975307,0.02443961637784407,5
mendeley,iscx,validation_fpr_limit,-0.007553282392210048,0.011736156352881656,5,-0.010827163611037305,0.01611298425121654,5,0.0006938667817239063,0.0019648284038524554,5,0.00021681444239258775,0.0006136247044879365,5,0.0005273566249175965,0.0015031976599856865,5,0.0,0.0,5,0.0002636783124587927,0.0007515988299928426,5
mendeley,mendeley,default,0.0016265945453314058,0.002557458284297276,5,0.0024369304011373494,0.003563687298019681,5,0.0009850773377366394,0.026081448271683624,5,-0.0126953680308183,0.017883971209229972,5,0.010801109479523573,0.036310686413292693,5,0.02389285714285716,0.03449466647622678,5,-0.006545873831666738,0.015252509631998416,5
mendeley,mendeley,validation_f1,0.0016265945453314058,0.002557458284297276,5,0.0024369304011373494,0.003563687298019681,5,-0.005385525155001925,0.012042400341119395,5,-4.054199090637311e-05,9.065464760982859e-05,5,-0.021145374449339217,0.04728249467840967,5,-0.020999999999999998,0.04695742752749557,5,-7.268722466960976e-05,0.00016253357545704708,5
mendeley,mendeley,validation_fpr_limit,0.0016265945453314058,0.002557458284297276,5,0.0024369304011373494,0.003563687298019681,5,0.0034910200711325556,0.00476030344807585,5,-0.00043491970645188617,0.003776981808561381,5,0.0021210637950726057,0.002888877665137176,5,0.00032142857142857147,0.0005267100429911658,5,0.0008998176118220514,0.0013248193830231903,5
