source,target,model,operating_point,average_precision_mean,average_precision_std,average_precision_count,roc_auc_mean,roc_auc_std,roc_auc_count,f1_mean,f1_std,f1_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,fpr_mean,fpr_std,fpr_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,predicted_malicious_fraction_mean,predicted_malicious_fraction_std,predicted_malicious_fraction_count
iscx,mendeley,always_malicious,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,ddqn,default,-0.08531326818915386,0.1066318403114529,5,-0.1478073124257045,0.16099502446346642,5,0.0017972348570091333,0.0039987643024470484,5,0.0010801239326031942,0.0020649422315148604,5,0.0034589655735030476,0.00874034604674799,5,-0.000214285714285678,0.002033676925358302,5,0.0018366256438943629,0.003359914075989576,5,0.001705175206752485,0.005534272161629631,5
iscx,mendeley,ddqn,validation_f1,-0.08531326818915386,0.1066318403114529,5,-0.1478073124257045,0.16099502446346642,5,0.007903753649692558,0.007197975354275694,5,0.004325237601246845,0.003998216410571426,5,0.016772719856420305,0.015134414598339457,5,0.0017857142857142794,0.0012176947943737468,5,0.007493502785353013,0.007008976950170817,5,0.00961718816608408,0.008448235451940914,5
iscx,mendeley,ddqn,validation_fpr_limit,-0.08531326818915386,0.1066318403114529,5,-0.1478073124257045,0.16099502446346642,5,0.011118667929453662,0.007617435826243834,5,0.006729282596638075,0.004645496423907412,5,0.020231685429923284,0.013750905135677874,5,0.0012500000000000178,0.0007680647559859371,5,0.009490842714961634,0.006550897150566286,5,0.011168897604228834,0.007500832960328353,5
iscx,mendeley,dqn,default,-0.07340757350609617,0.11368226378655975,5,-0.1337699141085705,0.17382674269788487,5,0.0017873542237739626,0.0038897922410085404,5,0.0010690099720931713,0.0020060704275305687,5,0.0034589655735030034,0.00851197825124265,5,-0.00017857142857140572,0.0020360275448199137,5,0.0018187685010372045,0.0032605683699619614,5,0.0017222269588200057,0.005406508008777692,5
iscx,mendeley,dqn,validation_f1,-0.07340757350609617,0.11368226378655975,5,-0.1337699141085705,0.17382674269788487,5,0.0077797276417321815,0.007240929032122418,5,0.004277716065990622,0.004024192946157217,5,0.016446402349486043,0.015220796692337587,5,0.0016071428571428515,0.0012938729237669442,5,0.007419629746171596,0.007056652802234785,5,0.009361411885071202,0.008494999080564445,5
iscx,mendeley,dqn,validation_fpr_limit,-0.07340757350609617,0.11368226378655975,5,-0.1337699141085705,0.17382674269788487,5,0.011057452488885433,0.008295402251705535,5,0.006456930330618127,0.005174557255279699,5,0.020688529939631262,0.014828339317889903,5,0.0029642857142857084,0.0038849034080394133,5,0.008862122112672777,0.007474203327964111,5,0.012226106232415379,0.008145804186271166,5
iscx,mendeley,logistic,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,logistic,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,logistic,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,mlp,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,mlp,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,mlp,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,random_forest,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,random_forest,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,mendeley,random_forest,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,always_malicious,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,always_malicious,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,always_malicious,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,ddqn,default,0.06866111914623649,0.038474128420316646,5,0.0828627313751773,0.04837753720392467,5,-0.00011668825221411439,0.00026102952142591327,5,-6.590894673407233e-05,0.00014746689736675037,5,-0.0002636783124588371,0.0005896026308502964,5,0.0,0.0,5,-0.00013183915622941856,0.0002948013154251482,5,-0.00013016596160104755,0.00029105993849656966,5
mendeley,iscx,ddqn,validation_f1,0.06866111914623649,0.038474128420316646,5,0.0828627313751773,0.04837753720392467,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,ddqn,validation_fpr_limit,0.06866111914623649,0.038474128420316646,5,0.0828627313751773,0.04837753720392467,5,0.06987026063848076,0.048287558810940934,5,0.0728366128600599,0.05656784661029509,5,0.06736980883322345,0.04408093005558025,5,-0.026863753213367602,0.042884675197592724,5,0.047116781023295515,0.04070533051793083,5,0.019655060201757234,0.015290345690973716,5
mendeley,iscx,dqn,default,0.06362738122078161,0.03867874312646038,5,0.07953658875503507,0.04774767494178349,5,-0.00011671369111798668,0.00015981680348752916,5,-6.593041544635802e-05,9.027893941414331e-05,5,-0.0002636783124588149,0.000361056399146471,5,0.0,0.0,5,-0.00013183915622940744,0.0001805281995732355,5,-0.00013016596160104755,0.0001782370834706125,5
mendeley,iscx,dqn,validation_f1,0.06362738122078161,0.03867874312646038,5,0.07953658875503507,0.04774767494178349,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,dqn,validation_fpr_limit,0.06362738122078161,0.03867874312646038,5,0.07953658875503507,0.04774767494178349,5,0.0686663670153074,0.052831567346273305,5,0.07204361378951782,0.06210664078595902,5,0.06618325642715886,0.04797795178271309,5,-0.02532133676092545,0.04669367018051885,5,0.045752296594042154,0.04488855551829466,5,0.019850309144158806,0.015022048665907967,5
