source,target,model,operating_point,average_precision_mean,average_precision_std,average_precision_count,roc_auc_mean,roc_auc_std,roc_auc_count,f1_mean,f1_std,f1_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,fpr_mean,fpr_std,fpr_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count
iscx,iscx,always_malicious,default,0.4936544093719492,0.0,5,0.5,0.0,5,0.6610021786492375,0.0,5,0.4936544093719492,0.0,5,1.0,0.0,5,1.0,0.0,5,0.5,0.0,5
iscx,iscx,always_malicious,validation_f1,0.4936544093719492,0.0,5,0.5,0.0,5,0.6610021786492375,0.0,5,0.4936544093719492,0.0,5,1.0,0.0,5,1.0,0.0,5,0.5,0.0,5
iscx,iscx,always_malicious,validation_fpr_limit,0.4936544093719492,0.0,5,0.5,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.5,0.0,5
iscx,iscx,ddqn,default,0.9655586628618902,0.0005815703404755672,5,0.9600924738143373,0.0005129011779769434,5,0.9057714948742754,0.002795196271290926,5,0.9176731318921674,0.004688299848073148,5,0.894264996704021,0.009750751265445263,5,0.0782776349614396,0.00564675646182231,5,0.9079936808712908,0.0020937295980268866,5
iscx,iscx,ddqn,validation_f1,0.9655586628618902,0.0005815703404755672,5,0.9600924738143373,0.0005129011779769434,5,0.9011498673450926,0.010440762664623765,5,0.8912112283158313,0.029698217277225745,5,0.9120632827949902,0.010706605846171441,5,0.10976863753213369,0.03568545643729359,5,0.9011473226314282,0.012630318010075435,5
iscx,iscx,ddqn,validation_fpr_limit,0.9655586628618902,0.0005815703404755672,5,0.9600924738143373,0.0005129011779769434,5,0.7784777800948699,0.012696592100944273,5,0.9860568194095005,0.0010009945915875887,5,0.6432432432432432,0.017116256784357044,5,0.008868894601542415,0.0007040135700580543,5,0.8171871743208504,0.008432019645164079,5
iscx,iscx,dqn,default,0.9655586628618902,0.0005815703404755672,5,0.9600924738143373,0.0005129011779769434,5,0.9057714948742754,0.002795196271290926,5,0.9176731318921674,0.004688299848073148,5,0.894264996704021,0.009750751265445263,5,0.0782776349614396,0.00564675646182231,5,0.9079936808712908,0.0020937295980268866,5
iscx,iscx,dqn,validation_f1,0.9655586628618902,0.0005815703404755672,5,0.9600924738143373,0.0005129011779769434,5,0.9011498673450926,0.010440762664623765,5,0.8912112283158313,0.029698217277225745,5,0.9120632827949902,0.010706605846171441,5,0.10976863753213369,0.03568545643729359,5,0.9011473226314282,0.012630318010075435,5
iscx,iscx,dqn,validation_fpr_limit,0.9655586628618902,0.0005815703404755672,5,0.9600924738143373,0.0005129011779769434,5,0.7784777800948699,0.012696592100944273,5,0.9860568194095005,0.0010009945915875887,5,0.6432432432432432,0.017116256784357044,5,0.008868894601542415,0.0007040135700580543,5,0.8171871743208504,0.008432019645164079,5
iscx,iscx,logistic,default,0.9364943705576451,0.0,5,0.930786137570262,0.0,5,0.8256374913852514,0.0,5,0.8649819494584838,0.0,5,0.7897165458141068,0.0,5,0.12017994858611825,0.0,5,0.8347682986139942,0.0,5
iscx,iscx,logistic,validation_f1,0.9364943705576451,0.0,5,0.930786137570262,0.0,5,0.8588878174220508,0.0,5,0.8381430363864493,0.0,5,0.8806855636123929,0.0,5,0.16580976863753213,0.0,5,0.8574378974874304,0.0,5
iscx,iscx,logistic,validation_fpr_limit,0.9364943705576451,0.0,5,0.930786137570262,0.0,5,0.6555213374395072,0.0,5,0.9854497354497355,0.0,5,0.4911008569545155,0.0,5,0.007069408740359896,0.0,5,0.7420157241070778,0.0,5
iscx,iscx,mlp,default,0.9667403165010431,0.00034109890031152224,5,0.9612899563303976,0.0003057039092943708,5,0.9037221825459307,0.006578023195690418,5,0.9249674979083113,0.0070083791696216955,5,0.883717864205669,0.01883385911795773,5,0.07005141388174807,0.008562283158402462,5,0.9068332251619605,0.005215563718467734,5
iscx,iscx,mlp,validation_f1,0.9667403165010431,0.00034109890031152224,5,0.9612899563303976,0.0003057039092943708,5,0.8980451980359174,0.010703016007511383,5,0.8790699817407093,0.02848453120009846,5,0.9185234014502308,0.009456645400358295,5,0.12429305912596403,0.033954212719522474,5,0.8971151711621334,0.012641319893068737,5
iscx,iscx,mlp,validation_fpr_limit,0.9667403165010431,0.00034109890031152224,5,0.9612899563303976,0.0003057039092943708,5,0.7975633754898604,0.0051000192660769035,5,0.9871584964030855,0.0005390377466617579,5,0.6690837178642057,0.006960682953837421,5,0.008483290488431876,0.00028741233643956226,5,0.8303002136878869,0.003588148782965758,5
iscx,iscx,random_forest,default,0.9702820644542223,0.0006163405133030719,5,0.963073216485656,0.0007401046723234796,5,0.9008818255848912,0.0007200376611536422,5,0.907336806225117,0.00203845836216303,5,0.8945286750164799,0.002984635839860696,5,0.0890745501285347,0.002430291825345634,5,0.9027270624439726,0.0005607236120931132,5
iscx,iscx,random_forest,validation_f1,0.9702820644542223,0.0006163405133030719,5,0.963073216485656,0.0007401046723234796,5,0.9038291305244227,0.0024278620427198652,5,0.955395756889161,0.02533168247958404,5,0.8582729070533949,0.017853134560251605,5,0.03997429305912596,0.02554334189589747,5,0.9091493069971344,0.004011822593465997,5
iscx,iscx,random_forest,validation_fpr_limit,0.9702820644542223,0.0006163405133030719,5,0.963073216485656,0.0007401046723234796,5,0.8910657487259463,0.002466427525874363,5,0.9761353544829374,0.0003322845242060899,5,0.8196440342781806,0.0043125714525500515,5,0.01953727506426735,0.00035200678502902673,5,0.9000533796069566,0.00202174147297611,5
