source,target,model,operating_point,average_precision_mean,average_precision_std,average_precision_count,roc_auc_mean,roc_auc_std,roc_auc_count,f1_mean,f1_std,f1_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,fpr_mean,fpr_std,fpr_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count
iscx,iscx,always_malicious,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,iscx,always_malicious,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,iscx,always_malicious,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
iscx,iscx,ddqn,default,0.006300141027186457,0.0015683169042826173,5,0.004674443708238862,0.0009278218432395313,5,0.0017067726093119128,0.007962741616929508,5,0.007937464261900052,0.020838761075552454,5,-0.004218852999340772,0.02525932952503182,5,-0.008354755784061703,0.023296361131609083,5,0.002067951392360423,0.007078726082304119,5
iscx,iscx,ddqn,validation_f1,0.006300141027186457,0.0015683169042826173,5,0.004674443708238862,0.0009278218432395313,5,-0.01241633506264359,0.008924567878406025,5,-0.031147235596566892,0.031815192908889095,5,0.008042188529993433,0.015973770579682064,5,0.03714652956298202,0.03819287135466715,5,-0.014552170516494378,0.011361934835075247,5
iscx,iscx,ddqn,validation_fpr_limit,0.006300141027186457,0.0015683169042826173,5,0.004674443708238862,0.0009278218432395313,5,0.07325655400560634,0.018425732101199944,5,0.0013252075342549575,0.0025302946867073787,5,0.0995385629531971,0.023904369630149986,5,0.00038560411311054003,0.0016758875077641777,5,0.049576479420043285,0.01156088695570432,5
iscx,iscx,dqn,default,0.006493440986725352,0.0016175261933322736,5,0.004858306798867407,0.0009597084895135328,5,0.0023414907731348577,0.008785632149123262,5,0.0029192777292138096,0.02099284048762048,5,0.0019775873434408897,0.03133434292392915,5,-0.0024421593830334194,0.02388896235888952,5,0.0022098733632372135,0.006912520665928202,5
iscx,iscx,dqn,validation_f1,0.006493440986725352,0.0016175261933322736,5,0.004858306798867407,0.0009597084895135328,5,-0.014994376829135337,0.0071703089133160584,5,-0.04473831436290319,0.016665401451870746,5,0.01713909030982206,0.005211400230995938,5,0.05372750642673525,0.02040728787738468,5,-0.018294208058456586,0.008380563584309468,5
iscx,iscx,dqn,validation_fpr_limit,0.006493440986725352,0.0016175261933322736,5,0.004858306798867407,0.0009597084895135328,5,0.07178059768513032,0.024436711936680747,5,0.0008092641155501123,0.002499441134729513,5,0.0970336189848385,0.030549297497114124,5,0.0007712082262210802,0.00166351916523712,5,0.04813120537930873,0.015207353474692657,5
iscx,iscx,logistic,default,0.004200921282018433,0.0,5,0.003767075119511243,0.0,5,0.01098606205246122,0.0,5,-9.806487016561505e-05,0.0,5,0.020435069215557045,0.0,5,0.003213367609254489,0.0,5,0.008610850803151271,0.0,5
