source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy
iscx,iscx,always_malicious,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,ddqn,11,default,0.00786580716126628,0.005639174192061613,0.0007128614843031622,0.00685234305923943,-0.005273566249175965,-0.007712082262210804,0.001219258006517454
iscx,iscx,ddqn,11,validation_f1,0.00786580716126628,0.005639174192061613,-0.005028875213686446,-0.0074304810267954435,-0.002636783124587927,0.007712082262210804,-0.0051744326933994556
iscx,iscx,ddqn,11,validation_fpr_limit,0.00786580716126628,0.005639174192061613,0.08536060496264253,0.002671361787383808,0.11601845748187212,0.0,0.05800922874093595
iscx,iscx,ddqn,23,default,0.006741380388613161,0.0044821923936599894,-0.005282642788795089,-0.020609410256635208,0.009887936717204893,0.023136246786632397,-0.006624155034713808
iscx,iscx,ddqn,23,validation_f1,0.006741380388613161,0.0044821923936599894,-0.000633577930471807,0.012326079777152499,-0.01318391562294019,-0.01413881748071981,0.0004774509288898443
iscx,iscx,ddqn,23,validation_fpr_limit,0.006741380388613161,0.0044821923936599894,0.08995803996870777,0.0023320800894390814,0.11997363216875412,0.0,0.05998681608437706
iscx,iscx,ddqn,37,default,0.003728555862346994,0.003272678283650854,-0.004634910544001225,0.032121160263540394,-0.03823335530652594,-0.0353470437017995,-0.0014431558023632052
iscx,iscx,ddqn,37,validation_f1,0.003728555862346994,0.003272678283650854,-0.019427545859263984,-0.060929789019893876,0.02570863546473323,0.0739074550128535,-0.024099409774060332
iscx,iscx,ddqn,37,validation_fpr_limit,0.003728555862346994,0.003272678283650854,0.05137592986102257,0.001251635770127768,0.07119314436387603,0.0,0.03559657218193801
iscx,iscx,ddqn,51,default,0.007040731452172433,0.005384561939831833,0.0033483475906858073,0.023334837520591956,-0.015820698747527895,-0.025706940874036008,0.004943121063254008
iscx,iscx,ddqn,51,validation_f1,0.007040731452172433,0.005384561939831833,-0.019521978027747244,-0.04764296669454515,0.010547132498352041,0.0559125964010283,-0.022682731951338297
iscx,iscx,ddqn,51,validation_fpr_limit,0.007040731452172433,0.005384561939831833,0.08445431264837211,-0.002991017330589041,0.11470006591957815,0.0032133676092545,0.05574334915516188
iscx,iscx,ddqn,71,default,0.006124230271533415,0.004593611731990022,0.014390207304366909,-0.0020116092772363148,0.028345418589321048,0.003856041131105402,0.012244688729107667
iscx,iscx,ddqn,71,validation_f1,0.006124230271533415,0.004593611731990022,-0.017469698282048474,-0.05205902101875248,0.019775873434410007,0.06233933161953731,-0.02128172909256365
iscx,iscx,ddqn,71,validation_fpr_limit,0.006124230271533415,0.004593611731990022,0.05513388258728669,0.0033619773549131704,0.07580751483190507,-0.0012853470437018,0.03854643093780352
iscx,iscx,dqn,11,default,0.00830306323542418,0.0059590281861270356,-0.0007545179911231381,-0.012484317896689023,0.011206328279498745,0.014781491002570701,-0.0017875813615360059
iscx,iscx,dqn,11,validation_f1,0.00830306323542418,0.0059590281861270356,-0.015541172956287874,-0.050926113466926326,0.022412656558998156,0.06105398457583551,-0.019320664008418698
iscx,iscx,dqn,11,validation_fpr_limit,0.00830306323542418,0.0059590281861270356,0.07349926228765546,0.002383130015844559,0.09756097560975618,0.0,0.04878048780487809
iscx,iscx,dqn,23,default,0.007597182576033146,0.005060047821349611,-7.353545490418334e-06,-0.012426926083108913,0.01252471984179282,0.014781491002570701,-0.0011283855803889686
iscx,iscx,dqn,23,validation_f1,0.007597182576033146,0.005060047821349611,-0.018308919917601862,-0.05495924409969699,0.021753460777850786,0.0668380462724936,-0.022542292747321335
iscx,iscx,dqn,23,validation_fpr_limit,0.007597182576033146,0.005060047821349611,0.11286846968113684,0.0014259829215741426,0.1489782465392222,0.0012853470437018,0.07384644974776022
iscx,iscx,dqn,37,default,0.004083043165699962,0.003309959278985586,-0.0044103421704130286,0.027005433886125196,-0.032959789057350086,-0.029562982005141403,-0.0016984035261041752
iscx,iscx,dqn,37,validation_f1,0.004083043165699962,0.003309959278985586,-0.002931129915961228,-0.015413100543105851,0.009887936717205115,0.017994858611825204,-0.0040534609473101835
iscx,iscx,dqn,37,validation_fpr_limit,0.004083043165699962,0.003309959278985586,0.052977905175526696,-0.0032329696043550404,0.07580751483190507,0.003213367609254501,0.03629707361132528
iscx,iscx,dqn,51,default,0.006107643603003421,0.00493507175744301,-0.000878968873489594,0.024793964412706204,-0.025049439683586083,-0.0276349614395887,0.0012927608780015643
iscx,iscx,dqn,51,validation_f1,0.006107643603003421,0.00493507175744301,-0.021853098500966284,-0.0547179345720431,0.014502307185234153,0.0661953727506427,-0.0258465327827041
iscx,iscx,dqn,51,validation_fpr_limit,0.006107643603003421,0.00493507175744301,0.06506124210004871,0.0003072454052845952,0.0883322346736981,0.0006426735218509,0.04384478057592367
