source,target,operating_point,average_precision_ddqn_minus_dqn_mean,average_precision_ddqn_minus_dqn_std,average_precision_ddqn_minus_dqn_count,roc_auc_ddqn_minus_dqn_mean,roc_auc_ddqn_minus_dqn_std,roc_auc_ddqn_minus_dqn_count,f1_ddqn_minus_dqn_mean,f1_ddqn_minus_dqn_std,f1_ddqn_minus_dqn_count,precision_ddqn_minus_dqn_mean,precision_ddqn_minus_dqn_std,precision_ddqn_minus_dqn_count,recall_ddqn_minus_dqn_mean,recall_ddqn_minus_dqn_std,recall_ddqn_minus_dqn_count,fpr_ddqn_minus_dqn_mean,fpr_ddqn_minus_dqn_std,fpr_ddqn_minus_dqn_count,balanced_accuracy_ddqn_minus_dqn_mean,balanced_accuracy_ddqn_minus_dqn_std,balanced_accuracy_ddqn_minus_dqn_count
iscx,iscx,default,-0.0002570382917323366,0.00014783098341275552,5,-0.00025630684292672347,0.00016058957300077738,5,-0.0010639868225428728,0.0035759918364121554,5,0.004985538336246242,0.010345236318647155,5,-0.006987475280158195,0.011327814868656522,5,-0.005912596401028281,0.011757588693216546,5,-0.000537439439564924,0.003459528585115097,5
iscx,iscx,validation_f1,-0.0002570382917323366,0.00014783098341275552,5,-0.00025630684292672347,0.00016058957300077738,5,0.0026709048493952503,0.013508269294756077,5,0.015350505196268549,0.04361586762612759,5,-0.010678971654581449,0.01940097289471312,5,-0.01863753213367609,0.05293188033653413,5,0.0039792802395473,0.01690084783678084,5
iscx,iscx,validation_fpr_limit,-0.0002570382917323366,0.00014783098341275552,5,-0.00025630684292672347,0.00016058957300077738,5,0.004358898045281401,0.009037976289071365,5,0.00046973142164337124,0.0033038561080484105,5,0.00606460118655241,0.01339157486787505,5,-0.00025706940874036,0.002343776674654302,5,0.0031608352976463692,0.00641933400590611,5
iscx,mendeley,default,-0.008423632425743921,0.061707475584266175,5,-0.023528220637251473,0.08456437788893312,5,-0.0019495719385132393,0.0025579356342215003,5,-0.0009800178991255294,0.0012612137941380966,5,-0.004437918094305715,0.005921561439245222,5,-0.001035714285714251,0.0016190038509490228,5,-0.001701101904295732,0.0021915318881527155,5
iscx,mendeley,validation_f1,-0.008423632425743921,0.061707475584266175,5,-0.023528220637251473,0.08456437788893312,5,-0.0018965100376063138,0.006394028636060079,5,-0.0009279916609038485,0.0031868748174468694,5,-0.0044052863436123465,0.014734960880894925,5,-0.0011785714285714511,0.0035051893017091556,5,-0.001613357457520448,0.005630058225013656,5
iscx,mendeley,validation_fpr_limit,-0.008423632425743921,0.061707475584266175,5,-0.023528220637251473,0.08456437788893312,5,0.004944499058677642,0.0030353955681366525,5,0.002956037384515597,0.0018366878241607124,5,0.009332680698319473,0.0056677415094299344,5,0.00014285714285715566,0.00023282865732867627,5,0.004594911777731159,0.0028693253665353947,5
mendeley,iscx,default,-0.030034398909716285,0.05752243776572451,5,-0.02641672018748953,0.05213265546652187,5,-5.835684555899334e-05,0.00013048987362236582,5,-3.296520772317901e-05,7.371244536142934e-05,5,-0.00013183915622940744,0.0002948013154251699,5,0.0,0.0,5,-6.591957811470372e-05,0.00014740065771258495,5
mendeley,iscx,validation_f1,-0.030034398909716285,0.05752243776572451,5,-0.02641672018748953,0.05213265546652187,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,validation_fpr_limit,-0.030034398909716285,0.05752243776572451,5,-0.02641672018748953,0.05213265546652187,5,-0.012965264403394156,0.030858649100747645,5,-0.04381950684557713,0.0648151040761704,5,-0.000922874093605791,0.023852505417060667,5,0.05,0.10611841851235405,5,-0.025461437046802926,0.053857299567595045,5
mendeley,mendeley,default,-0.00030330017694337743,0.0013117478957175538,5,-0.00014246381371945115,0.00048119843711857946,5,-0.00036621568946433315,0.0007935243531309546,5,0.003569115692427327,0.0033607690291934415,5,-0.005253711861641408,0.005618207673468826,5,-0.006678571428571423,0.006461473342443044,5,0.0007124297834650184,0.000672245855544971,5
mendeley,mendeley,validation_f1,-0.00030330017694337743,0.0013117478957175538,5,-0.00014246381371945115,0.00048119843711857946,5,0.00018984528129761813,0.0005384152691143031,5,-0.003457025671783276,0.006397618093672309,5,0.005188448360254538,0.008823706242430989,5,0.007035714285714284,0.012901461315743754,5,-0.0009236329627298368,0.0021284293999455526,5
mendeley,mendeley,validation_fpr_limit,-0.00030330017694337743,0.0013117478957175538,5,-0.00014246381371945115,0.00048119843711857946,5,-0.0034677501404063006,0.006555194588206911,5,-0.0004098160951084173,0.001778652167381052,5,-0.0024800130527002804,0.0045864735291718025,5,-3.57142857142858e-05,0.0003434890011012743,5,-0.0012221493834929874,0.002282331443296731,5
